soundname	intervalname	F1	F2	F3
vowels	i	343.11441822352555	2724.404825932287	3607.2438380682192
vowels	i	352.1387720664369	2603.205001377319	3063.734947577768
vowels	i	388.9662223322163	2662.840505568674	3092.7720577954165
vowels	ɨ	348.65019086307257	1570.1014977769655	2568.296575273051
vowels	ɨ	347.25165011039996	1730.864977893228	2445.0158172172146
vowels	ɨ	454.29244651495145	1708.9468925334531	2539.6836024690906
vowels	e	605.0570284264014	2188.587026750606	2712.5816799501467
vowels	e	634.1406704388	2175.284458470234	2711.8233767350803
vowels	e	584.5400026199156	2262.430080474781	2864.515958904221
vowels	a	837.4243320679706	1664.9534654390147	2544.6037903059864
vowels	a	843.3742665818513	1634.9698297073387	2581.5258034202175
vowels	a	835.6557889947017	1388.403508221802	2533.791125089246
vowels	u	347.95127251668305	672.6123132657171	2828.4747904895776
vowels	u	432.36083250083755	715.6952448697244	3231.7472242336607
vowels	u	406.5698892985071	728.3812848398344	3241.833712657476
vowels	o	614.2120670069272	852.091424648461	3039.1724839390386
vowels	o	607.8694529820207	1010.2388258837484	2780.2731678949553
vowels	o	611.4617744029848	1021.0895152557916	2860.030115319084
